author,last_updated,title,review,rating,app_version,net_helpfulness,helpfulness_count
1429,|Aly|,2025-10-10T23:58:04-07:00,Shouldn’t even exist on mobile.,"I generally use templates first and then build off them. But, on mobile, you can’t even preview or use templates. It’s obvious that this app wasn’t originally intended to be used on mobile and was intended for computer, especially because all the tutorials in the homepage (not the first ones you see) are only shown in the computer version.",1,1.7.261,0,0
1430,Jaja21908,2025-10-10T20:35:04-07:00,Amazing app,This app is great! It helps me stay organized and plan anything up coming event. If you work a lot or a student this app is perfect for you!,5,1.7.261,0,0
1431,mariescott98,2025-10-10T12:57:59-07:00,Keeps overwriting my current notes with my old notes,"While editing a table, Notion overwrites my current notes with my old notes. I really want to like Notion, but this has happened 4 separate times with several different tables within Notion.",1,1.7.261,0,0
1432,Can’t:/,2025-10-10T07:22:46-07:00,New update,Ever since the new update I couldn’t have an endless canvas an I couldn’t find a way to go back to the old notion I liked it better when it had an endless canvas,1,1.7.261,0,0
1433,babyanhk,2025-10-09T10:28:24-07:00,Best App Possible,Really nice functions and easy to use. Made my life so much easier to organize!!,5,1.7.261,0,0
1434,Muddi900,2025-10-08T00:55:51-07:00,Unusable with a touchscreen,"I understand that Apple wants people to use ipads on the desk, but most people don’t. It would be good if developers still considered touchscreen use. Everything from editing to selecting text to dragging elements, nothing works with just touch.

Do not use on the ipad.",2,1.7.261,0,0
1435,Meganeff,2025-10-07T21:50:02-07:00,I swear by Notion,"You prompted me for a review on the right day. I’ve a long-time user of Notion - first tried it back in 2018 maybe? Don’t quote me on that, time is nebulous. It’s been a long time - that’s all I mean. For me to use any app/tool for this long speaks volumes about how useful it is.

I’ve tried every productivity/note-taking app on the market. I swear. Todoist, Trello, Tiimo, Chaos Control, Maple, Asana, Habitica, etc. I’ve tried GTD, mind maps, recording voice memos, habit trackers, to-do lists, and handwritten journals. I won’t lie, I get distracted by every shiny new productivity app I stumble across. But Notion is the only one that works for me, and it works well. So I always end up coming back to Notion.

The ability to build a database that links all of my ideas in one hub has allowed me to ACTUALLY take action on that big creative project I always said I wanted to do. I honestly thought my desire wasn’t strong enough because I always failed to follow through, but it turns out I was just lacking the right tools to help me get the job done. I’ve consistently published my newsletter for 21 weeks, two  times a week. If you have ADHD or know someone with it, you know how big of an accomplishment this is. Notion has the only tool I use outside of Beehiiv. 

My neurodivergent brain needed something built by me, for me. Not a prebuilt template created by someone who thinks differently than I do. (Although Notion has a TON of templates to help get you started!) I didn’t use Notion to its fullest potential for the first few years because I was limiting myself to those templates. I was afraid to try to build a database without having the finished picture in mind. I eventually got frustrated enough and started building my own. At first it was messy and chaotic, but now it is a system that reflects my thought processes and fits my needs perfectly.

I loved Notion enough as it was, but the addition of Notion AI has solidified this as my go-to tool for the rest of forever. Notion AI can now find my notes for me. I no longer have to search through months of random (and terribly named) Google Docs or search through a bookshelf of journals/planners to find past notes. And it helps me generate new ideas from my existing data with way less effort. 

I use Notion solo, but I’m sure it would be just as useful for a team. Highly recommend you give this app a try. And don’t just toy around with someone else’s template. Spend time building a system built for your unique needs & behaviors!",5,1.7.261,0,0
1436,Chi-Town Doc,2025-10-07T18:15:51-07:00,Love Notion!,"This is an amazing platform. Modern, sleek design. Full of features. I can’t get enough. I also love the calendar add-on.",5,1.7.261,0,0
1437,Robert842640173,2025-10-07T11:15:41-07:00,More than an organizer,This app does more than organize my projects. Organizes my life,5,1.7.261,0,0
1438,Davnieli,2025-10-05T20:04:42-07:00,Please add naming to your AI chats,"What the title says, let us save and short chats better",5,1.7.260,0,0
1439,lili boyer,2025-10-05T19:30:24-07:00,one super minor complaint,"I love notion. I use it for a lot of reasons, like school and work, and even personal reasons like keeping up with events and little footnotes for myself. The only thing I cannot stand about this app is how astronomically large the text is when viewed on phone, and lack of ability to change it.",1,1.7.260,0,0
1440,thatachieveher,2025-10-05T10:06:15-07:00,So close to being super cool.,"This app would be so cool if it wasn’t so hard to find the most important details. I would like to broaden this review later, but there’s a lot of things that would be amazing to change! Keep going though that’s a great idea!",2,1.7.260,0,0
1441,CloedTobz,2025-10-05T07:02:43-07:00,iOS support,"I think iOS devices with iOS 15 should still be supported 
Because right now the notion is no longer supported on my devices",3,1.7.190,0,0
1442,Jack94011,2025-10-05T05:44:50-07:00,Buggy! Deletes your data!,"This has happened to me numerous times. But today it was insane. I'd been eorking on a page for the whole day, made endless edits hours apart from each other. Assuming they would get saved, obviously!!! Then, I was working on the exact same page and it went back to what I wrote yesterday! I lost an entire day's worth of work!!! That's the one thing that an app like this shouldn't do!!! What the actual $&""$& notion!!!!!!",1,1.7.260,0,0
1443,LoganMcKinley,2025-10-04T20:59:17-07:00,5 Years with Notion | READ | ~ 1min,"I’ve been using Notion since Undergrad in college. It has been one of the best tools I’ve come across for personal & professional development. Nothing comes close to the incredible UI when taking notes on my phone. 

From notes during church to developing code Notion is the best, it’s lightweight and lightning quick when it comes to updating across devices. 

As of 10/4/2025: 
Both my IOS(iPad and IPhone) along with my desktop application are experiencing issues. I’m worried this service degradation is simply because I’ve taken another job and so my account is no longer associated with a paid Business Account. Would love some feedback from Notion.",5,1.7.260,0,0
1444,artlife1,2025-10-04T06:28:35-07:00,Please update to iOS 26,"Love Notion but please update to match the iOS aesthetic including your icon, so Notion matches other apps on my screen. Thx",4,1.7.260,0,0
1445,sven8996,2025-10-03T18:31:25-07:00,Started off good,But sadly deleted chats containing info and notes. The quality in answers isnt the best anymore either,1,1.7.260,0,0
1446,SteveXLee,2025-10-03T08:57:12-07:00,Great user interface and design but occasional bugs are annoying,Bugs mainly associated with title editing issues (no reactions while pressing) and workspace cover image demonstrations (the cover page image is occasionally missing),3,1.7.260,0,0
1447,jcrank2103,2025-10-02T19:11:56-07:00,Love it,Might be the greatest app I’ve discovered. I use it for everything.,1,1.7.260,1,1
1448,Shalom Ormsby,2025-10-01T17:24:33-07:00,The optimal information organization tool,"Notion enables me not only to create my own personal Wikipedia for all my important info, not only to create a powerful set of dynamic relational databases, but also to simplify the complexity of all of this (which now includes most of my my digital life) using Notion-native AI. Truly game-changing!",5,1.7.260,0,0
1449,Gamer Radar,2025-10-01T17:00:21-07:00,Latest changes removed functions,"Stop with the AI push, this broke a few functions of the app; I can’t use the “/“ feature to start things, I can’t move pages or databases, and if I can it’s very very difficult to do so.  The bar on the bottom just has AI garbage, I was getting excited with Notion 3.0 on web and desktop but the iPhone app is hot garbage.",1,1.7.260,0,0
1450,MissVeronique,2025-10-01T15:51:34-07:00,Best Digital Tool Of My Life,"When I was using notion the other day on my desktop, I realized that this tool is hands-down, the most productive and beautiful, helpful, digital tool I’ve ever even imagined. I can track my daily tasks, plan my dream vacation, store my recipes, write notes about the history of anything that interests me. It is a note keeper, a calendar, a task list, docs and databases all in one place!",5,1.7.260,0,0
1451,Angel Rae 333,2025-10-01T13:15:35-07:00,Life Changing,"After graduating from being in school my whole life and being trained to have a digital home base like Canvas or BlackBoard, this app/software became my new home base. I'm an artist with sooo many ideas and projects in all kinds of mediums, so this app really helps me create project plans as well as overview my goals and my steps to achieve them. I love how the software syncs on my phone and computer. I also have experience in building websites (including my own) and Notion is great because it's kinda like you get to build your own website, but like for you (or with a team, obvi I use this just for myself so far). Anyway, you won't regret it!!! It is what you make it <3",5,1.7.260,0,0
1452,TarantulaQueen44,2025-09-30T11:15:44-07:00,PERFECT,"I love how I can make categories with subcategories. I use this app for research projects and taking notes on books that I read. I have a books category and below that is each book I have read. I click on that and there is a dropdown of each chapter. When I click that, I have all my notes organized per chapter. Absolutely love it.",5,1.7.259,1,2
1453,7ajsnsns,2025-09-29T20:24:16-07:00,"Used to be Good, The new UI is so confusing.",Confusing UI compared to 1 year ago,3,1.7.259,0,0
1454,Nala Foxy,2025-09-29T16:31:31-07:00,Incredibly Helpful,This app is the only thing that got me through IB in high school and is so helpful in college.,5,1.7.259,0,0
1455,dannybeenhere,2025-09-29T03:58:27-07:00,boards unusable,"dragging and dropping pages on board database is straight up unusable. the back gesture overrides any attempt to move a page by dragging, even if the thing you’re trying to drag is on the far right, the app thinks you’re sliding right / out of the current page you’re in.

i tried enabling “open pages in full screen” to see if maybe the slide over / popover option was causing this, but it happens in any of the 3 page opening options.",1,1.7.259,1,1
1456,Belinda Baer,2025-09-29T03:53:19-07:00,iPhone app keeps freezing,"I usually use Notion on my computer, but it's in the shop being repaired. The app on iPhone is glitchy and keeps freezing and I need to close and reopen it constantly.",1,1.7.259,0,0
1457,Mehrad Ghoreishi,2025-09-29T00:40:36-07:00,PLEASE ADD FONT SIZE,"Everything is perfect, please add font size on iPhone and iPad apps!
I have an eye problem and i need to use the web size and manually adjust the browser’s font size to being able to read properly.",5,1.7.259,0,0
1458,miladlamri,2025-09-28T19:11:58-07:00,The Greatest App of All time!,"I have never been satisfied with an app like Notion, A life saver that increased my productivity more than 1000%",5,1.7.245,0,0
1459,not-existent,2025-09-28T10:35:38-07:00,Best notes app ever but…,"words cannot express how much i adore this app and website. i use it for oc and world building organizing, i use it for college, i use it for fandom writing, fanfiction, and i use it for my day to day life. my only issue is the use and free use of ai. yes i know “it’s the future” and “every app uses it” but i don’t care. i don’t like it. i have a lot of creative works on Notion and i don’t want my creations fed to ai. please get it off Notion. developers, i promise you no one will be upset over you removing it. if you truly don’t want to, at least give us a toggle option to turn it off completely. it’s here without my consent. thank you, that is all",5,1.7.259,1,1
1460,poirothercule,2025-09-28T00:12:39-07:00,Buggy,In the current version pages freeze and become unresponsive.,1,1.7.259,0,0
1461,OlegSabs,2025-09-27T19:05:18-07:00,Business - App - Gamechanger,With the new Ai Agent - Structure Builder and Data Downloader this app is absolutely outstanding! Seamless API integrations with Airtable and powerful Ai Agents unlock endless possibilities for solopreneurs. A true game-changer for automation and growth.,5,1.7.259,0,0
1462,Dgdddcrh,2025-09-27T10:12:34-07:00,Only Works on PC,"Is very glitchy on iPad Pro or iPhone, only works on PC. Calendar is overall awful and doesn’t let you slide text boxes around, have to type them in order. App moves very slow in general wouldn’t recommend.",2,1.7.259,0,0
1463,"*.*^[!|£_,!~^]",2025-09-26T21:13:42-07:00,Very Slow,"Although it is a great app, it is incredibly slow. I’ve been having problems with it for the past few months, where it takes forever to open different pages and edit them. It’s very annoying and I hope this can get fixed soon.",2,1.7.259,0,0
1464,ffrfrcrcrg,2025-09-26T04:04:43-07:00,Love it,Good for organizing when u learn how to use,5,1.7.259,0,0
1465,Jramphis,2025-09-25T18:11:03-07:00,App reset,"I wrote about a year ago about an issue with the app (when writing on mobile, app interrupts and reloads page over and over) and has yet to be fixed. This app is unusable, but somehow still has 5 stars, how?",1,1.7.259,0,0
1466,Obsessed with frogs,2025-09-25T16:48:06-07:00,This is like if a Swiss Army knife was an app,Is there any feature notion doesn’t have???,5,1.7.259,0,0
1467,strong opinions,2025-09-25T10:06:49-07:00,"The platform is great, the app is very buggy","I’ve had frequent problems with the desktop and mobile app not syncing properly. The mobile app often breaks when dragging list items to order them. It is very difficult to bulk edit, like to select and remove a large chunk.",3,1.7.259,0,0
1468,Ketitka,2025-09-25T00:03:00-07:00,worst program and worst service,"program is very bad, not user friendly, even support team gets confused and can’t help. its taking a lot of money, even for free plan! it’s scam!!!",1,1.7.259,0,0
1469,SilverMythago,2025-09-24T13:43:04-07:00,excellent software for notes,"I find Notion to be my favorite current notetaking software for organizing and tracking projects and tasks, and for brainstorming, and it handles well a broad loose collection of notes and ideas gathered in one place",5,1.7.259,0,0
1470,mhlljy,2025-09-23T07:57:10-07:00,"Great, but NEED to add small text to iPad/mobile","I love using Notion so much, the layout is something I enjoy using to organize my tasks/plans, but I don’t like how I can’t use small text on my iPad like I can on my computer. Small text makes everything more compact and less awkward to look at when what I have written down is in columns. Otherwise the app is great, but I would love seeing small text and other format options on mobile Notion in the future",4,1.7.258,0,0
1471,cmilasd,2025-09-22T19:02:26-07:00,Suggested updates,"I have my life on Notion and that’s how I keep myself organized. We know we have way more access to our phones than our laptops, that’s why I strongly recommend to upgrade the app for an easy and clean performance on the phone, including also the Widgets for easy and quick access over the phone.",4,1.7.258,0,0
1472,Never Give up !!!,2025-09-22T13:08:26-07:00,Completo y fácil de usar,He usado otras aplicaciones para la gestión de mis tareas y proyectos personales y del negocio . Me quedo con Notion como la mejor .,5,1.7.258,0,0
1473,Velo Viru,2025-09-22T06:33:04-07:00,Deceptive Billing,"Cancelled before the end of the free trial. They charged me for the renewal 20 days early, even after cancelling the subscription via the App Store. Beware, it appears that this isn’t an uncommon issue.

That said, the app works pretty well and is cool - just frustrating that it seems they still have to have weird billing practices.",1,1.7.258,0,0
1474,morecoffeesunsetsinbk,2025-09-22T05:04:17-07:00,New update won’t open on iPad,I updated notion and now notion wont open on my iPad,2,1.7.258,0,0
1475,uurrrr mom,2025-09-21T18:12:35-07:00,ios17+,i loved notion until it became only ios17+. rip ios16 users,1,1.7.257,0,0
1476,uncleSandy,2025-09-21T05:32:24-07:00,Like peanut butter and jelly,"I’m fairly new to notion, but I’ve come to rely on it heavily for keeping up with my notes and building out projects. And now with the new AI functionality, which I’m just getting acquainted with. I really feel like a kid sitting at the table with peanut butter and jelly in hand and a glass of cold milk waiting from me to finish my last bite.",5,1.7.258,0,0
1477,16678:),2025-09-20T10:31:05-07:00,Solid note taking app,"I’ve been using this app for a few years now and I am not joking when I say that I LOVE IT!! I’m a student who has to take LOADS of notes, and handwriting notes has never worked for me. So, I began using this app (laptop version) and I have never looked back! It took a while (and some YouTube videos) to learn how to create a page I could use for school, but it has been WORTH IT!!! I don’t usually use the phone version of the app, and couldn’t recommend it for notes, but it is nice for checking notes or dates I’ve put in there for school and such. I primarily use the laptop version of this app and I love it so much and would recommend it to anyone who, like me, prefers taking digital notes and is sick of Google docs.",5,1.7.258,0,0
1478,errorthisuserdoesnotexist,2025-09-19T19:08:30-07:00,Unenthusiastic after switching from Evernote,"I've been a diehard Evernote user for about a year, but I decided to make the leap to Notion after seeing it numerous times on social media. I'm amazed at all the customization options—but consistently underwhelmed by the app's actual functionality. A lot of the features that are relatively easy on desktop just don't exist or don't work at all on the mobile version, making it impossible to edit my pages and templates on-the-go. How is it that you can't search the page for keywords? Why is it that I can't italicize words if it's inside a gallery page? 

I'm frankly annoyed and starting to regret trying to transfer all of my writing materials over from Evernote upon realizing that I can't probably copy and paste text—the first line appears, and the rest just teleports somewhere else on the page. Evernote is pretty bare bones when it comes to features, but at least their functionality is top notch. Notion is an aesthetic mess that I want to love so badly, but even putting aside the insane learning curve needed to use it, the UI and functionality is just genuinely bad.",3,1.7.258,1,1
1479,Imran Farabi,2025-09-19T02:56:44-07:00,Best of best,Notion is cool app overall. Thanks team notion.,5,1.7.258,0,0
1480,ddosboss,2025-09-18T13:58:55-07:00,iPad UI is abysmal - using an Apple Pencil messes up everything,"Notion is a fantastic app and I use it on PC all the time, but its UI on the iPad is horrible, especially when attempting to use an Apple Pencil. The scribble feature works in other apps but messes up the entire page when you use it in notion. You can’t drag stuff around easily, and it’s just a horrible experience overall.
I hope some UI designer at Notion actually tries to use the app on an iPad to see how infuriating it can be.",2,1.7.258,1,1
1481,Suhail Algosaibi,2025-09-18T07:49:42-07:00,A M A Z I NG,"Simply one of the best apps in the world. It has changed how we work. I do wish they were Arabic RTL friendly, but I home this will happen soon.",5,1.7.258,0,0
1482,Eyoel7,2025-09-17T19:44:42-07:00,Wowza,Life changing,5,1.7.258,0,0
1483,anthgrim,2025-09-17T19:08:40-07:00,Draw mode needed,Will be cool to get draw mode,4,1.7.258,0,0
1484,Changfeng98,2025-09-17T11:29:22-07:00,Almost unusable on ios,"Keeps refreshing even if I don’t click on anything, I can barely scroll down to a part of a page that I wanna view before it restarts and it went back to beginning of page. Also impossible to edit as every time I hit edit it refreshes the page. I will probably go back to google doc for long simple documents",1,1.7.258,0,0
1485,eoberton,2025-09-16T13:38:44-07:00,Seriously the best,"Easy to learn, easy to use, and it is SO useful.",5,1.7.257,0,0
1486,Beni_sjd,2025-09-16T11:39:49-07:00,RTL when?,"This is the best note taking app but it really needs rtl support
Please please add this feature",5,1.7.257,0,0
1487,adloki,2025-09-15T22:51:53-07:00,Too small font,"- The iOS app has to small font for iPhone (iPhone 12 mini) in menus. 
- There’s no ability to set up default font size for all app (pages)",3,1.7.257,1,1
1488,Ctm3557,2025-09-15T18:09:37-07:00,Unstable,Want to love notion but the app is constantly crashing to the point where I am not able to write anything down. Was hoping a notes app would be more reliable!,2,1.7.257,0,0
1489,JesseReale,2025-09-14T13:01:51-07:00,"Might be a good app, bugs","Might be a good app, unfortunately I may never know from the amount of bugs this app has. So many times I delete something only for it to appear 3 seconds later, I try to click to edit things it makes an animation and never opens, so annoying to manage any work so far.",1,1.7.257,0,0
1490,White guy 234,2025-09-13T21:40:59-07:00,Game changer,It helps me how to organize my notes,5,1.7.257,0,0
1491,cmperk,2025-09-13T08:30:52-07:00,Life laugh love notion,I love notion so much I will literally name my firstborn after whoever’s responsible for this MWAH,5,1.7.257,0,0
1492,CrisCaprisse,2025-09-13T07:15:54-07:00,Organization,"En serio esta aplicación me ha organizado la vida de una forma sencilla y Clara, Gracias 📈🙏🏻",5,1.7.257,0,0
1493,Purpleandpinkpumpkins,2025-09-12T13:18:24-07:00,"Was great on the app, now it’s not",^^^ refer to title,1,1.7.257,0,0
1494,"nope365,",2025-09-12T08:14:11-07:00,DOWNLOAD!!!,Go ahead and download it. My life is so organized right now. You can definitely benefit from it in your personal life work life all of life.,5,1.7.257,0,0
1495,elle230,2025-09-10T09:27:22-07:00,Loses the ability to click anything at times,"For the most part this app is good, but there has been an annoying bug for a while now where the app buttons do not work, they are clicked and the app shows it is being clicked, but it does not go to the page. Every time this happens, I’m unable to go anywhere, and I have to close the app completely and reopen it. Please fix this bug.",3,1.7.257,0,0
1496,BrightSkiesAndSunshine,2025-09-09T04:23:30-07:00,Not user friendly,"Got it, hoping to use it for using AI to interact with technical documents. But I don’t think it does that, if it does, it’s not good at exposing features.",1,1.7.257,0,0
1497,Percy Longclaw,2025-09-08T19:27:17-07:00,Best app for organizing my thoughts,"I’m a very scatterbrained person. I can’t keep my physical papers with recipes and plans around to save my soul. They always go missing. I moved all of my recipes into this app and I haven’t had issues finding them yet! Plus, I’ve been working on writing and this has helped me organize my thoughts for each  part as well as helped me organize people, places, and various other things. I also use it for notes for school and other things.",5,1.7.257,0,1
1498,Kplan23,2025-09-07T11:18:46-07:00,Getting ready for way to long,Very odd onboarding process. after several minutes of the spinners saying setting up I gave up.,1,1.7.257,0,0
1499,thebiggestbeee,2025-09-07T03:38:37-07:00,"Great, but needs improvement!!","I adore this app and its features, especially when it comes to its customizability. However, it really feels like Notion has been focusing more on AI rather than fixing up some of its core features for mobile use. I can’t even change my workspace name! I hate having to go to my notes app for writing or jotting down quick notes.",3,1.7.257,4,4
1500,cing0,2026-04-07T15:40:09-07:00,Early breakfast,"So convenient, my order came within 30 mins!",5,5.403.0,0,0
1501,A disappointed exp,2026-04-05T08:08:28-07:00,Overall great but lame no show policy,"Ordered a ride and confirmed my current location, but drive park somewhere far. Asked where driver is or how should can I get there and all I got was “I don’t know where you are, and then cancelled my ride”. I am a tourist new to the area, he expect me to know Singapore like back of my hand? And then I was charged for a no show.",2,5.403.0,0,0
1502,YeeWii,2026-04-04T23:43:15-07:00,Drivers Canceling,"I don’t understand why drivers have the ability to cancel a ride after the platform assigns it and confirms it. It’s a waste of a customer’s time. Only the customer should have the ability to cancel due to distance, time, or car type. Frustrating. Suggest Grab learns more about customer experience from Didi in China.",3,5.403.0,0,0
1503,__sidj__,2026-04-04T02:53:22-07:00,Doesn’t work,"Everytime I try to login with the 4 different login methods, I get a “oops something went wrong error” seems like there’s nothing to fix this neither",1,5.403.0,0,0
1504,Tynatinh65,2026-04-03T19:30:21-07:00,OK,Rất tận tình,5,5.403.0,0,0
1505,AFAMCOWBOY,2026-04-02T17:26:45-07:00,Delivery area changes,I have been using the Grab app almost weekly for 2 years. Recently and without explanation my address is now outside delivery area for literally 90% of the restaurants I ordered from on a regular basis. In the future it will be a very rare occurrence that I use the app. Congratulations Grab ! You just lost a regular customer’s business!,2,5.403.0,0,0
1506,nikki-nikki_nikki,2026-04-02T04:51:16-07:00,Horrible,Horrible support. App glitches. They don’t have basic problem solving skills & they aren’t reliable.,1,5.403.0,0,0
1507,Helmerl1,2026-04-01T21:30:24-07:00,Good food delivered warm,"The meal was good, consistent with McDonald’s high standards, and it arrived very quickly, warm and fresh.",5,5.403.0,0,0
1508,San Diego Frank,2026-03-31T20:09:25-07:00,Merchandise,Wrong order,3,5.403.0,0,0
1509,baldguy96,2026-03-31T07:32:32-07:00,Illegal grab drivers on the footpaths all the time,"EVERY DAY I HAVE TO DODGE GRAB DRIVERS ON THE FOOTPATHS. Bad ,rude , dangerous",1,5.403.0,0,0
1510,Eya_ph,2026-03-30T22:13:59-07:00,Bs,Make it better!,4,5.403.0,0,0
1511,Ohlizzey,2026-03-30T22:01:40-07:00,Polite,Our groceries were delivered on time and great communication!,5,5.403.0,0,0
1512,Soiyu (@@),2026-03-28T22:11:54-07:00,quá khó chịu,đặt đơn 1 tiếng không có shipper nhận vẫn không cho huỷ,1,5.403.0,0,0
1513,Dylaan68,2026-03-28T01:32:22-07:00,Bad service,"Cancel order after order without not serious explications (lost lot of hours to wait, they cancel only 1-2h after your order)",1,5.401.0,0,0
1514,FIX IT FIX IT FIX IT FIX,2026-03-27T20:05:01-07:00,Cứng nhắc và ngu dốt,"Không bảo vệ đối tác, thiếu minh bạch, bảo vệ mấy con đủ nghi thì giỏi",1,5.401.0,0,0
1515,Colin1234,2026-03-27T19:38:24-07:00,Annoying ads,I kept getting these advertisements as push notifications. I spent an annoying amount of time looking for my communications settings only to find I had already disabled everything. So why am I getting these? Later I found out they put ad notifications on a different settings page. Nice move Grab. So clever.,3,5.401.0,0,0
1516,Shannonb76,2026-03-27T08:20:55-07:00,Not worth it,The app keeps locating my phone in the wrong place. About every other ride. Have to pay cancellation fees when the driver can’t find me.,1,5.401.0,0,0
1517,Tlodden01,2026-03-26T18:08:16-07:00,Love App! Easy & consistent,Love the app and it works consistently no matter what country I’m in. The only thing I don’t like is when a driver confirms my ride and is picking somebody else up first. It states 1 stop first. I have to wait 10 minutes for them when another driver could have confirmed and come straight to me. Some times we are standing in the heat waiting. This happens frequently. It should be mandatory on the app the can only pick on ride at a time! Customer first.,5,5.401.0,0,0
1518,Quietparticularperson,2026-03-25T23:49:00-07:00,Useful convenient app,"Grab has been incredibly useful while in Asia. I use it every day for rides, food, and groceries. Customer service is quite good too. That saying, I find this company to be incredibly cheap. When a priority delivery is late, they don’t even give me half of the delivery cost back or my vip delivery benefit back at least. I can’t even use the paltry late voucher they give me with other higher discounts. In addition to that, the late deliveries that are supposed to come from one driver gets split into two drivers which is inconvenient. Increase the payout for the drivers to find one who will take it instead of splitting the order. Honestly payouts for drivers should be higher in general. And lastly, VIP benefits aren’t that great anymore.",3,5.401.0,0,0
1519,Kevinjewelry79,2026-03-25T06:34:06-07:00,Ép người quá đáng,Một tập đoàn lớn mà xử lý với đối tác của mình quá tàn nhẫn,1,5.401.0,0,0
1520,golfinho305,2026-03-25T05:36:27-07:00,Forced item replacement??,The latest update removes the option to choose what you buy. It forces you to accept whatever the store decides to give you if their listed inventory is wrong and they do not have your item….,1,5.401.0,0,0
1521,Hoangtuk34,2026-03-25T01:54:55-07:00,Cùi,Tôi chả quan tâm Minh Khang là thằng nào. Tài xế của Grap phải được grap bảo trợ.,1,5.401.0,0,0
1522,user pisact,2026-03-24T12:03:35-07:00,"“1 là nhịn, gỡ video, 2 là khoá app”","“1 là nhịn, gỡ video - 2 là khoá app”",1,5.401.0,0,0
1523,bdjsjsndbnrkemsndnene,2026-03-23T10:58:10-07:00,Cc got skimmed,Credit card (which I only use for this app) got skimmed,1,5.401.0,0,0
1524,bchwu,2026-03-23T10:06:49-07:00,Tệ,"+1 xoá app vì cách xử lý tệ. Ng dân nghèo khổ lao động kiếm cơm mà ko bảo vệ ko cảm thông. Lại đi ủng hộ , cổ xuý cho sự côn đồ - bạo lực. Lũ bợ đít nghệ sĩ 🙏🏻🙏🏻🙏🏻",1,5.401.0,0,0
1525,Molthox,2026-03-23T04:07:41-07:00,Lotteria 6 miles,ကြက်ကြော်လေးတုံးနဲ့ pepsiတစ်ခွက်မှာတာ pepsiပါမလာဘူး deliသမားလည်းနောက်တစ်ခေါက်ထပ်ပင်ပန်းရတယ် orderကိုသေချာစစ်ပေးပါရှင့်,1,5.401.0,0,0
1526,Quangt73123,2026-03-22T23:33:46-07:00,Food container,Use plastic foam for hot roast duck.,4,5.401.0,0,0
1527,Dlan&Dlan's son,2026-03-22T14:02:29-07:00,Discriminate and unfair treatment to employee,Not recommend,1,5.401.0,0,0
1528,Em không thích xem,2026-03-22T11:02:14-07:00,Bad(,Bad bad bad,1,5.401.0,0,0
1529,Phong Trần 01,2026-03-22T09:21:52-07:00,Lý do nhận 1 sao,Bảo vệ cho thằng nhạc sĩ lưu manh,1,5.401.0,0,0
1530,Chisww,2026-03-22T02:01:06-07:00,"tẩy chay, làm việc chỉ nghĩ đến lợi ích cho công ty thì cút","tẩy chay, làm việc chỉ nghĩ đến lợi ích cho công ty thì cút",1,5.401.0,0,0
1531,Budhhas,2026-03-21T18:28:57-07:00,Price increase,"Price increase sucks!
Now I’m using Xanh SM Motorbike Rides at only 12k vn compared to Grabs 24k motorbike rides i save 50% and Xanh SM motorbikes feel more comfortable and quiet plus all their drivers are very polite and professional!",1,5.401.0,0,0
1532,Nhanphan121314,2026-03-21T18:14:23-07:00,App ủng hộ bạo lực tẩy chay đi anh em,App ủng hộ bạo lực tẩy chay đi anh em App ủng hộ bạo lực tẩy chay đi anh em App ủng hộ bạo lực tẩy chay đi anh em App ủng hộ bạo lực tẩy chay đi anh em,1,5.401.0,0,0
1533,klein L,2026-03-21T14:55:16-07:00,Grateful,Thank you so much. I accidentally put the wrong address but he still delivered my package with the address I provided,5,5.401.0,0,0
1534,lorrikus,2026-03-21T06:30:05-07:00,Rrika in Thailand,"I love it here!!!! every time I order the magic happens!!! It’s on time, hot, and the GRAB drivers are so friendly…I’m visiting from the states and I ABSOLUTELY LOVE YOU GUYS!! Thank you",5,5.401.0,0,0
1535,Q1 Q2 Q3 Q4,2026-03-21T05:33:05-07:00,APP KHÔNG CÓ SỰ CHUYÊN NGHIỆP TRONG KHÂU GIẢI QUYẾT VẤN ĐỀ CHO NHÂN VIÊN,APP NÊN XEM LẠI VÀ XỬ LÝ CÔNG BẰNG CHO NHỮNG NHÂN VIÊN BÌNH THƯỜNG ĐANG CẦN LO CƠM ÁO GẠO TIỀN,1,5.401.0,0,0
1536,TV0396,2026-03-21T05:28:53-07:00,"không thấy an toàn, xử lý bất công quyền của nhân viên và công dân",xử lý ép buộc nhân viên đã gỡ app,1,5.401.0,0,0
1537,Kahahsg,2026-03-21T02:09:37-07:00,App dỏm,App dỏm,1,5.401.0,0,0
1538,Dâu 🤣,2026-03-21T00:26:33-07:00,tẩy chay,xài như hạch,1,5.401.0,0,0
1539,Khách sai mà,2026-03-20T21:26:18-07:00,Khách sai mà,Khách sai mà,1,5.401.0,0,0
1540,Linh linh kim kim,2026-03-20T17:22:55-07:00,Tệ,Tệ,1,5.401.0,0,0
1541,Ramza247,2026-03-20T17:18:17-07:00,Bad System,After not using the app for a few weeks.  My account will get deactivated and I can't place an order. I have to call Grab to verify my credit card each time. This is so inconvenient.,1,5.401.0,0,0
1542,Bbiibiii,2026-03-20T15:58:14-07:00,BAD,Bad bad bad,1,5.401.0,0,0
1543,Qeiwiajs,2026-03-20T15:42:18-07:00,Rác,Bảo vệ 1 thằng sv,1,5.401.0,0,0
